id,source_doc,easting,northing,gl_m_od,rockhead_m_od,top_units,notes,glacial_wording,classification,area
R7-BH1,TR010025-000588,407207.06,141421.1,78.61,75.91,ploughsoil; colluvium; coombe chalk; structural chalk,Winterbourne Stoke coombe transect N end; structureless coombe chalk 1.8–2.7 m bgl,n,periglacial_coombe,
R7-BH2,TR010025-000588,407207.83,141401.33,77.23,72.53,ploughsoil; B horizon; flint lag; colluvium; coombe chalk; structural chalk,Thickened colluvium (~3 m) in probable solution feature; lag in BH2/BH5 only,n,solution,
R7-BH3,TR010025-000588,407207.74,141381.51,76.25,71.75,ploughsoil; B horizon; colluvium; coombe chalk; structural chalk,Standard coombe-colluvium stack,n,periglacial_coombe,
R7-BH4,TR010025-000588,407207.48,141371.52,75.93,71.33,ploughsoil; B horizon; colluvium; coombe chalk; structural chalk,Near solution/pond-barrow ERT anomaly; thick colluvium,n,solution,
R7-BH5,TR010025-000588,407207.65,141362.06,75.86,71.11,ploughsoil; B; flint lag; colluvium; coombe chalk; buried soil?; coombe chalk; weathered chalk,Log note possible Allerod soil?? within soliflucted coombe; alt. dissolution pipe (Windermere or pipe),n,periglacial_coombe,
R7-BH6,TR010025-000588,407207.25,141352.72,75.88,71.08,ploughsoil; B; colluvium; coombe chalk; buried soil?; coombe chalk; weathered chalk,S end of transect; buried-soil boundaries too sharp for typical in situ soil — pipe alternative,n,periglacial_coombe,
STP70501,TR010025-002259,406702.8,141796.6,81.87,,possible colluvium over chalk,OSL rotary also scheduled at this STP,n,colluvium,
STP70502,TR010025-002259,406669.6,141697.0,87.55,,possible colluvium over chalk,,n,colluvium,
STP70503,TR010025-002259,406758.8,141653.8,81.26,,possible colluvium over chalk,OSL core schedule hole,n,colluvium,
STP70504,TR010025-002259,406722.8,141539.2,87.83,,possible colluvium over chalk,,n,colluvium,
STP70505,TR010025-002259,406837.0,141566.5,82.07,,possible colluvium over chalk,,n,colluvium,
STP70506,TR010025-002259,406903.0,141817.0,91.49,,chalk-dominated trial pit,colluvium flag unclear in extract window,n,chalk,
STP70507,TR010025-002259,406887.0,141766.0,87.57,,chalk-dominated trial pit,,n,chalk,
STP70508,TR010025-002259,406935.0,141701.0,87.02,,possible colluvium over chalk,,n,colluvium,
STP70509,TR010025-002259,406967.2,141609.7,83.29,,possible colluvium over chalk,,n,colluvium,
STP70601,TR010025-002259,407038.0,141231.0,92.71,,chalk-dominated trial pit,,n,chalk,
STP70602,TR010025-002259,407195.6,141258.5,84.09,,possible colluvium over chalk,near Report7 Winterbourne Stoke area,n,colluvium,
STP71601,TR010025-002259,408807.5,141123.2,104.89,,possible colluvium over chalk,higher Plain GL >100 mOD,n,colluvium,
STP72201,TR010025-002259,414805.4,142080.8,75.46,,possible colluvium / made ground,hand-dug inspection pit,n,colluvium,
STP72202,TR010025-002259,414836.0,142114.0,77.67,,topsoil; made ground,Phase 7B: hand-dug inspection pit — topsoil over made ground to 1.20 m bgl; chalk not reached.,n,made_ground,
STP72202A,TR010025-002259,414819.3,142120.0,78.72,,topsoil; made ground (brick/porcelain),Phase 7B: relocated STP72202 — made ground with brick/porcelain to 3.50 m bgl; chalk not reached.,n,made_ground,
STP72601,TR010025-002259,415859.6,142157.3,74.22,,topsoil; made ground (brick),Phase 7B: hand-dug inspection pit — made ground with rare brick/possible limestone to 1.20 m bgl.,n,made_ground,
STP72602,TR010025-002259,415892.6,142191.5,73.00,,possible colluvium: flint chalk rare quartzite; structureless chalk below,rare quartzite in POSSIBLE COLLUVIUM; not till,n,colluvium,
STPES1,TR010025-002259,415329.0,142064.5,71.06,,topsoil; made ground (bitumen-coated flint),Phase 7B eastern portal: made ground; bitumen-coated flint band; terminated in dense ground at 0.50 m bgl.,n,made_ground,
STPES2,TR010025-002259,415332.4,142066.6,71.03,,made ground (brick/tile/possible quartzite/coke),Phase 7B: anthropogenic fill throughout to 1.20 m bgl — not a glacial suite (possible quartzite is made-ground clast).,n,made_ground,
STPES3,TR010025-002259,415335.1,142068.5,71.06,70.11,made ground; structureless Seaford Chalk (Dm),Phase 7B: made ground (brick/glass/litter) over structureless Seaford Chalk from 0.95 m bgl (70.11 m OD).,n,made_ground,
STPES4,TR010025-002259,415334.0,142067.4,71.05,,topsoil/made ground; made ground (concrete/tarmacadam),Phase 7B: made ground including concrete and tarmacadam gravel to 1.20 m bgl.,n,made_ground,
STPES5,TR010025-002259,415338.8,142071.3,71.12,,made ground (plastic/metal/brick/concrete),"Phase 7B: made ground with plastic, metal, brick, concrete to 1.20 m bgl.",n,made_ground,
STPES6,TR010025-002259,415330.2,142064.6,71.01,,possible colluvium / made ground,,n,colluvium,
TP-A,TR010025-002259,409696.58,144603.02,116.29,,infiltration pit; possible colluvium,Longbarrow area; high GL,n,colluvium,
TP-B,TR010025-002259,409709.07,144483.90,113.01,,infiltration pit; possible colluvium,,n,colluvium,
TP-C,TR010025-002259,409819.12,144587.71,112.38,,infiltration pit; possible colluvium,,n,colluvium,
TP-D,TR010025-002259,417632.00,141810.99,94.41,,topsoil; structureless Seaford Chalk (Dc),Phase 7B Countess infiltration pit: topsoil over structureless Seaford Chalk; end 0.80 m bgl.,n,chalk,
